Generated by pymatgen.io.lammps.data.LammpsData

379  atoms

  6  atom types

0.000000 12.982700  xlo xhi
0.000000 12.982700  ylo yhi
0.000000 25.965400  zlo zhi

Masses

1    6.941000
2  138.905470
3   91.224000
4   92.906380
5   26.981539
6   15.999400

Atoms

1    1 0.0000  3.245675  4.868512  0.000000
2    1 0.0000  4.868512  0.000000  3.245675
3    1 0.0000 11.359863  6.491350  9.737025
4    1 0.0000  8.114188  6.491350  3.245675
5    1 0.0000  8.787990  7.241750  2.000634
6    1 0.0000  5.740950  8.491984 10.686060
7    1 0.0000 10.982066  2.296640 12.232300
8    1 0.0000  4.490716  4.194710  0.750400
9    1 0.0000  4.194710  7.241750  8.491984
10   1 0.0000  2.296640  5.740950  2.000634
11   1 0.0000  7.241750  8.491984  4.194710
12   1 0.0000  5.740950  2.000634  2.296640
13   1 0.0000  0.750400 10.982066  8.787990
14   1 0.0000  2.000634  2.296640  5.740950
15   1 0.0000 10.982066  8.787990  0.750400
16   1 0.0000  5.542315 11.737659  3.996075
17   1 0.0000  2.495275  7.440385  5.246309
18   1 0.0000  3.996075  5.542315 11.737659
19   1 0.0000  1.245041 10.487425  0.949035
20   1 0.0000 11.737659  3.996075  5.542315
21   1 0.0000  0.949035  5.246309  3.996075
22   1 0.0000 12.033665 11.737659  2.495275
23   1 0.0000  7.440385  1.245041  8.986625
24   1 0.0000  2.495275 12.033665 11.737659
25   1 0.0000 10.487425  5.542315  7.736391
26   1 0.0000  7.736391 10.487425  5.542315
27   1 0.0000  1.245041  8.986625  7.440385
28   1 0.0000  2.296640  0.750400  8.491984
29   1 0.0000 12.232300  2.000634  4.194710
30   1 0.0000  4.490716  8.787990  5.740950
31   1 0.0000 10.982066 10.686060  7.241750
32   1 0.0000 10.686060  0.750400  2.000634
33   1 0.0000  8.787990 12.232300  8.491984
34   1 0.0000  0.750400  2.000634 10.686060
35   1 0.0000 12.232300  8.491984  8.787990
36   1 0.0000  7.241750  4.490716  2.296640
37   1 0.0000  8.491984  8.787990 12.232300
38   1 0.0000  4.490716  2.296640  7.241750
39   1 0.0000 12.033665  5.246309 10.487425
40   1 0.0000  8.986625  0.949035 11.737659
41   1 0.0000 10.487425 12.033665  5.246309
42   1 0.0000  7.736391  3.996075  7.440385
43   1 0.0000  5.246309 10.487425 12.033665
44   1 0.0000  7.440385 11.737659 10.487425
45   1 0.0000  5.542315  5.246309  8.986625
46   1 0.0000  0.949035  7.736391  2.495275
47   1 0.0000  8.986625  5.542315  5.246309
48   1 0.0000  3.996075 12.033665  1.245041
49   1 0.0000  1.245041  3.996075 12.033665
50   1 0.0000  7.736391  2.495275  0.949035
51   1 0.0000  3.245675  1.622838 19.474050
52   1 0.0000  9.737025  8.114187 12.982700
53   1 0.0000  0.000000  9.737025 14.605537
54   1 0.0000  6.491350  3.245675 21.096887
55   1 0.0000  3.245675  4.868513 12.982700
56   1 0.0000  9.737025 11.359863 19.474050
57   1 0.0000  4.868513  0.000000 16.228375
58   1 0.0000 11.359863  6.491350 22.719725
59   1 0.0000  8.114188  6.491350 16.228375
60   1 0.0000  8.787990  7.241750 14.983334
61   1 0.0000  5.740950  8.491984 23.668760
62   1 0.0000 10.982066  2.296640 25.215000
63   1 0.0000  4.490716  4.194710 13.733100
64   1 0.0000  4.194710  7.241750 21.474684
65   1 0.0000  2.296640  5.740950 14.983334
66   1 0.0000  7.241750  8.491984 17.177410
67   1 0.0000  5.740950  2.000634 15.279340
68   1 0.0000  0.750400 10.982066 21.770690
69   1 0.0000  2.000634  2.296640 18.723650
70   1 0.0000 10.982066  8.787990 13.733100
71   1 0.0000  5.542315 11.737659 16.978775
72   1 0.0000  2.495275  7.440385 18.229009
73   1 0.0000  3.996075  5.542315 24.720359
74   1 0.0000  1.245041 10.487425 13.931735
75   1 0.0000 11.737659  3.996075 18.525015
76   1 0.0000  0.949035  5.246309 16.978775
77   1 0.0000 12.033665 11.737659 15.477975
78   1 0.0000  7.440385  1.245041 21.969325
79   1 0.0000  2.495275 12.033665 24.720359
80   1 0.0000 10.487425  5.542315 20.719091
81   1 0.0000  7.736391 10.487425 18.525015
82   1 0.0000  1.245041  8.986625 20.423085
83   1 0.0000  2.296640  0.750400 21.474684
84   1 0.0000 12.232300  2.000634 17.177410
85   1 0.0000  4.490716  8.787990 18.723650
86   1 0.0000 10.982066 10.686060 20.224450
87   1 0.0000 10.686060  0.750400 14.983334
88   1 0.0000  8.787990 12.232300 21.474684
89   1 0.0000  0.750400  2.000634 23.668760
90   1 0.0000 12.232300  8.491984 21.770690
91   1 0.0000  7.241750  4.490716 15.279340
92   1 0.0000  8.491984  8.787990 25.215000
93   1 0.0000  4.490716  2.296640 20.224450
94   1 0.0000 12.033665  5.246309 23.470125
95   1 0.0000  8.986625  0.949035 24.720359
96   1 0.0000 10.487425 12.033665 18.229009
97   1 0.0000  7.736391  3.996075 20.423085
98   1 0.0000  5.246309 10.487425 25.016365
99   1 0.0000  7.440385 11.737659 23.470125
100  1 0.0000  5.542315  5.246309 21.969325
101  1 0.0000  0.949035  7.736391 15.477975
102  1 0.0000  8.986625  5.542315 18.229009
103  1 0.0000  3.996075 12.033665 14.227741
104  1 0.0000  1.245041  3.996075 25.016365
105  1 0.0000  7.736391  2.495275 13.931735
106  2 0.0000  6.491350  3.245675 11.359863
107  2 0.0000  0.000000  9.737025  4.868512
108  2 0.0000  6.491350  9.737025  8.114187
109  2 0.0000  0.000000  3.245675  1.622837
110  2 0.0000  3.245675 11.359863  6.491350
111  2 0.0000  9.737025  4.868512  0.000000
